data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
5079765,8,ALB358,358,3/13/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 13 March, members of the Democratic Party [size=no report] protested against the ruling opposition and gathered in front of Parliament in Tirana before a planned parliamentary session. They held anti-government banners and threw firecrackers.",0,1553853269,ALB
5535310,8,ALB356,356,3/12/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Health Workers (Albania); Labour Group (Albania); Students (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Radio and Televizioni Shqiptar; Albanian Daily News,National,"On 12 March, doctors from a Tirana hospital [size=no report] protested for a second day in a row denouncing violence against medical staff and demanded stricter regulations to ensure their safety at work. Medical students also protested as one of their colleagues had been beaten up while on duty days ago.",0,1561483030,ALB
5079762,8,ALB355,355,3/12/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Health Workers (Albania); Labour Group (Albania),6,,,0,60,Europe,Albania,Shkoder,Shkoder,,Shkoder,42.0675,19.5131,1,Albanian Daily News,National,"On 12 March, doctors in Shkoder [size=no report] protested denouncing violence against medical staff and demanded stricter regulations to ensure their safety at work. Days ago, a student doctor in Tirana and a doctor in Lezhe had been beaten up by patients.",0,1553853269,ALB
5079761,8,ALB354,354,3/11/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Health Workers (Albania); Labour Group (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 11 March, doctors from a Tirana hospital [size=no report] protested denouncing violence against medical staff and demanded stricter regulations to ensure their safety at work.",0,1553853269,ALB
7000796,8,ALB353,353,3/11/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 11 March, three families [size=small] objected to the demolition of their houses in Tirana and clashed with police in the area of Petro Nini high school. No injuries were reported.",0,1585075530,ALB
5079759,8,ALB352,352,3/9/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania,6,,,0,60,Europe,Albania,Gjirokaster,Kelcyre,,Kelcyre,40.3131,20.1894,1,Albanian Daily News,National,"On 9 March, residents of Kelcyre protested in their town against the destruction of their houses, presuming corruption and lack of transparency to be involved in the decisions. Members of the opposition Democratic Party supported the protesters.",0,1553853269,ALB
6225272,8,ALB351,351,3/8/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Women (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Xinhua; Albanian Daily News,National-International,"On 8 March, civil society protested violence against women on the International Women's Day near the police directorate in Tirana. Protesters demanded more effective protection for women by the police. Nine women died due to gender violence incidents in Albania this year. The same day women from the Tirana area Astir held a protest for their rights and urged to cancel the Big Ring Road construction project.",0,1572403603,ALB
5200537,8,ALB348,348,3/8/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Women (Albania),6,,,0,60,Europe,Albania,Durres,Durres,,Durres,41.3231,19.4414,1,Albanian Daily News,National,"On 8 March, hundreds of people protested violence against women in Durres at the International Women's Day. Protesters appealed to stop abuse and killing of women.",0,1559160527,ALB
7000524,8,ALB349,349,3/8/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania; LSI: Socialist Movement for Integration,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Fier,Fier,,Fier,40.7239,19.5561,1,Albanian Daily News; NOA,National,"On 8 March, residents of Fier demonstrated against government and Prime Minister Edi Rama upon his visit in town. Some of the demonstrators clashed with police as they approached Rama and one police officer was injured. Members of the Democratic Party and Socialist Movement of Integration were present at the demonstration.",0,1585075529,ALB
5079757,8,ALB350,350,3/8/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Health Workers (Albania); Labour Group (Albania),6,,,0,60,Europe,Albania,Lezhe,Lezhe,,Lezhe,41.7836,19.6436,1,Albanian Daily News,National,"On 8 March, hospital workers from Lezhe protested violence against doctors after a recent incident of a doctor hit by a patient and demanded police presence in hospitals.",0,1553853269,ALB
7000523,8,ALB347,347,3/7/2019,2019,1,Riots,Violent demonstration,Rioters (Albania),PD: Democratic Party of Albania; LSI: Socialist Movement for Integration,5,Police Forces of Albania (2013-),,1,15,Europe,Albania,Fier,Roskovec,,Roskovec,40.7375,19.7022,1,Radio and Televizioni Shqiptar; Albanian Daily News,National,"On 7 March, residents of Roskovec demonstrated against government and Prime Minister Edi Rama upon his visit in town. Demonstrators and police clashed as the former tried to enter the premises where Rama had a meeting to celebrate the International Women's Day. Four people were arrested. Members of the Democratic Party and Socialist Movement of Integration were present at the demonstration.",0,1585075529,ALB
7000782,8,ALB346,346,3/7/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Labour Group (Albania); Farmers (Albania),6,,,0,60,Europe,Albania,Korce,Korce,,Korce,40.6186,20.7808,3,Albanian Daily News,National,"On 7 March, farmers from Korce blocked the road connecting Korce and Kapshtica throwing their unsold fruit on the ground as a revolt against their economic hardships and demanded the government to resign.",0,1585075530,ALB
7000794,8,ALB345,345,3/7/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Labour Group (Albania),6,,,0,60,Europe,Albania,Shkoder,Fushe-Arrez,,Fushe-Arrez,42.0622,20.0167,2,Albanian Daily News,National,"On 7 March, miners and former miners in Fushe-Arrez protested for a third consecutive day in front of their copper factory demanding their wages and collective labor contracts to be in place.",0,1585075530,ALB
5079750,8,ALB343,343,3/6/2019,2019,1,Protests,Peaceful protest,Protesters (Albania),Labour Group (Albania),6,,,0,60,Europe,Albania,Shkoder,Fushe-Arrez,,Fushe-Arrez,42.0622,20.0167,2,Albanian Daily News,National,"On 6 March, miners and former miners in Fushe-Arrez protested in front of their copper factory demanding their wages and collective labor contracts to be in place.",0,1553853269,ALB
